PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE,OPP_VOTES_PTI,PTI_VOTES_PTI,TURNOUT_NA_PTI,ECP_PTI_DIFFERENCE_OPP_VOTES,
52,43,117,1635,Aftab Jehangir (PTI),78,254,544,33.27217125,546,33.39449541,2,78,254,544,0,
88,79,117,1440,Aftab Jehangir (PTI),78,152,408,28.33333333,408,28.33333333,0,78,152,408,0,
105,13,116,805,Dr Farooq Sattar (MQM),78,71,385,47.82608696,385,47.82608696,0,78,71,385,0,
68,59,117,1582,Aftab Jehangir (PTI),77,227,560,35.39823009,566,35.77749684,6,77,227,560,0,
66,57,117,1106,Aftab Jehangir (PTI),72,86,345,31.19349005,445,40.23508137,100,72,186,445,0,
80,71,117,795,Dr Farooq Sattar (MQM),70,8,183,23.01886792,184,23.14465409,1,0,78,184,70,
104,12,116,1078,Aftab Jehangir (PTI),68,69,458,42.48608534,458,42.48608534,0,68,69,458,0,
96,4,116,1069,Aftab Jehangir (PTI),67,119,418,39.10196445,415,38.82132834,3,67,119,418,0,
21,12,117,1742,Aftab Jehangir (PTI),65,308,635,36.45235362,635,36.45235362,0,65,308,635,0,
10,1,117,1553,Aftab Jehangir (PTI),53,191,429,27.62395364,430,27.68834514,1,53,191,429,0,
111,19,116,746,Dr Farooq Sattar (MQM),51,23,305,40.8847185,312,41.8230563,7,Page Missing 2/2,Page Missing 1/2,Page Missing 2/2,#VALUE!,
123,31,116,1322,Aftab Jehangir (PTI),51,363,721,54.53857791,718,54.31164902,3,51,363,721,0,
56,47,117,1434,Aftab Jehangir (PTI),48,183,379,26.42956764,379,26.42956764,0,47,183,379,1,
101,9,116,925,Aftab Jehangir (PTI),48,72,299,32.32432432,299,32.32432432,0,48,72,299,0,
75,66,117,991,Dr Farooq Sattar (MQM),45,6,293,29.56609485,293,29.56609485,0,45,139,286,0,
116,24,116,824,Aftab Jehangir (PTI),45,59,345,41.86893204,319,38.71359223,26,45,59,345,0,
125,33,116,1241,Aftab Jehangir (PTI),45,350,646,52.05479452,636,51.24899275,10,45,350,646,0,
86,77,117,878,Aftab Jehangir (PTI),42,73,194,22.09567198,194,22.09567198,0,42,73,194,0,
103,11,116,871,Aftab Jehangir (PTI),42,54,368,42.25028703,768,88.17451206,400,Page Missing 2/2,Page Missing 1/2,Page Missing 2/2,#VALUE!,
19,10,117,1504,Aftab Jehangir (PTI),41,205,381,25.33244681,381,25.33244681,0,40,205,360,1,
97,5,116,716,Aftab Jehangir (PTI),41,81,278,38.82681564,278,38.82681564,0,41,81,278,0,
107,15,116,1197,Aftab Jehangir (PTI),41,126,492,41.10275689,492,41.10275689,0,41,126,492,0,
30,21,117,1064,Aftab Jehangir (PTI),39,213,385,36.18421053,385,36.18421053,0,39,213,385,0,
51,42,117,1307,Aftab Jehangir (PTI),39,135,473,36.18974751,473,36.18974751,0,39,135,473,0,
26,17,117,1060,Aftab Jehangir (PTI),36,182,341,32.16981132,341,32.16981132,0,36,182,341,0,
119,27,116,966,Aftab Jehangir (PTI),36,60,389,40.26915114,389,40.26915114,0,36,60,389,0,
128,36,116,864,Aftab Jehangir (PTI),35,251,438,50.69444444,439,50.81018519,1,Page Missing 2/2,251,Page Missing 2/2,#VALUE!,
84,75,117,854,Aftab Jehangir (PTI),34,82,200,23.41920375,199,23.30210773,1,34,82,199,0,
122,30,116,1288,Aftab Jehangir (PTI),34,348,652,50.62111801,650,50.46583851,2,34,348,652,0,
20,11,117,1189,Aftab Jehangir (PTI),33,173,303,25.48359966,302,25.39949537,1,33,173,303,0,
89,80,117,993,Aftab Jehangir (PTI),32,82,218,21.95367573,218,21.95367573,0,32,82,218,0,
113,21,116,1367,Aftab Jehangir (PTI),31,125,1125,82.29700073,1125,82.29700073,0,31,125,624,0,
16,7,117,1408,Aftab Jehangir (PTI),23,74,149,10.58238636,240,17.04545455,91,23,74,149,0,
29,20,117,781,Aftab Jehangir (PTI),22,129,235,30.08962868,176,22.53521127,59,15,120,203,7,
120,28,116,851,Aftab Jehangir (PTI),21,233,458,53.81903643,458,53.81903643,0,21,233,458,0,
124,32,116,1192,Aftab Jehangir (PTI),21,284,582,48.82550336,799,67.03020134,217,21,284,581,0,
44,35,117,743,Aftab Jehangir (PTI),20,43,150,20.1884253,150,20.1884253,0,Page Missing 2/2,43,Page Missing 2/2,#VALUE!,
112,20,116,759,Aftab Jehangir (PTI),19,42,491,64.69038208,488,64.29512516,3,Page Missing 2/2,42,Page Missing 2/2,#VALUE!,
7,30,118,687,Aftab Jehangir (PTI),18,38,234,34.06113537,234,34.06113537,0,18,38,234,0,
78,69,117,802,Aftab Jehangir (PTI),17,74,173,21.57107232,173,21.57107232,0,17,74,173,0,
93,1,116,768,Aftab Jehangir (PTI),7,23,319,41.53645833,319,41.53645833,0,7,23,319,0,
9,32,118,1233,Aftab Jehangir (PTI),6,20,241,19.5458232,,0,241,Page Missing 2/2,20,Page Missing 2/2,#VALUE!,
3,26,118,1513,Aftab Jehangir (PTI),4,72,588,38.86318572,588,38.86318572,0,4,72,590,0,
5,28,118,736,Aftab Jehangir (PTI),4,48,218,29.61956522,205,27.85326087,13,4,48,206,0,
6,29,118,653,Aftab Jehangir (PTI),2,83,253,38.74425727,253,38.74425727,0,2,83,253,0,
117,25,116,250,Aftab Jehangir (PTI),2,21,167,66.8,156,62.4,11,2,21,167,0,
1,24,118,1146,Aftab Jehangir (PTI),0,67,449,39.17975567,491,42.84467714,42,Page Missing 2/2,67,Page Missing 2/2,#VALUE!,
2,25,118,922,Aftab Jehangir (PTI),0,54,409,44.36008677,195,21.14967462,214,Page Missing 2/2,54,Page Missing 2/2,#VALUE!,
4,27,118,696,Aftab Jehangir (PTI),0,38,313,44.97126437,310,44.54022989,3,0,38,313,0,
42,33,117,1006,Aftab Jehangir (PTI),0,59,287,28.52882704,287,28.52882704,0,33,59,280,-33,
114,22,116,868,Aftab Jehangir (PTI),0,20,248,28.57142857,248,28.57142857,0,Page Missing 2/2,20,Page Missing 2/2,#VALUE!,
